CODIGO,DESCRIPCION,URL_QR
FIAS.18.03.019,COMPUTADOR + MONITOR,https://fias-activos.github.io/consulta/?codigo=FIAS.18.03.019
FIAS.18.03.020,COMPUTADOR + MONITOR,https://fias-activos.github.io/consulta/?codigo=FIAS.18.03.020
FIAS.18.03.021,COMPUTADOR + MONITOR,https://fias-activos.github.io/consulta/?codigo=FIAS.18.03.021
FIAS.18.03.022,COMPUTADOR + MONITOR,https://fias-activos.github.io/consulta/?codigo=FIAS.18.03.022
FIAS.18.03.023,COMPUTADOR + MONITOR,https://fias-activos.github.io/consulta/?codigo=FIAS.18.03.023
FIAS.18.03.008,COMPUTADOR + MONITOR,https://fias-activos.github.io/consulta/?codigo=FIAS.18.03.008
FIAS.18.03.027,COMPUTADOR PORTATIL,https://fias-activos.github.io/consulta/?codigo=FIAS.18.03.027
FIAS.20.03.028,DESTRUCTORA DE PAPEL,https://fias-activos.github.io/consulta/?codigo=FIAS.20.03.028
FIAS.18.03.024,COMPUTADOR PORTATIL,https://fias-activos.github.io/consulta/?codigo=FIAS.18.03.024
FIAS.18.03.026,IMPRESORA MATRICIAL,https://fias-activos.github.io/consulta/?codigo=FIAS.18.03.026
FIAS.18.03.025,IMPRESORA MATRICIAL,https://fias-activos.github.io/consulta/?codigo=FIAS.18.03.025
FIAS.18.03.006,IMPRESORA MULTIFUNCIÓN,https://fias-activos.github.io/consulta/?codigo=FIAS.18.03.006
FIAS.18.01.073,VIDRIO DIVISORIO,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.073
FIAS.18.01.024,ESTACIÓN GERENCIAL OTZI,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.024
FIAS.18.01.025,CREDENZA GERENCIAL LÍNEA BE.,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.025
FIAS.18.01.026,MESA DE REUNIONES REDONDA,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.026
FIAS.18.01.027,ESCRITORIO OPERATIVO EN L. LÍNEA BE.,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.027
FIAS.18.01.029,ESCRITORIO OPERATIVO EN L. LÍNEA BE.,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.029
FIAS.18.01.030,ESCRITORIO OPERATIVO EN L. LÍNEA BE.,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.030
FIAS.18.01.031,ESCRITORIO OPERATIVO EN L. LÍNEA BE.,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.031
FIAS.18.01.032,ESCRITORIO OPERATIVO EN L. LÍNEA BE.,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.032
FIAS.18.01.033,ESCRITORIO OPERATIVO EN L. LÍNEA BE.,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.033
FIAS.18.01.034,ESCRITORIO OPERATIVO EN L. LÍNEA BE.,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.034
FIAS.19.03.028,COMPUTADOR PORTATIL,https://fias-activos.github.io/consulta/?codigo=FIAS.19.03.028
FIAS.18.01.035,ESCRITORIO OPERATIVO EN L. LÍNEA BE.,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.035
FIAS.18.01.036,ESCRITORIO OPERATIVO EN L. LÍNEA BE.,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.036
FIAS.18.01.037,ESCRITORIO OPERATIVO EN L. LÍNEA BE.,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.037
FIAS.18.01.038,ESCRITORIO OPERATIVO EN L. LÍNEA BE.,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.038
FIAS.18.01.039,CREDENZA 3 PUERTAS,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.039
FIAS.18.01.040,CREDENZA 3 PUERTAS,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.040
FIAS.18.01.041,CREDENZA 3 PUERTAS,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.041
FIAS.18.01.042,BIBLIOTECA 4 PUERTAS,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.042
FIAS.18.01.043,BIBLIOTECA 4 PUERTAS,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.043
FIAS.18.01.044,BARRA DE CAFETERÍA,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.044
FIAS.18.01.045,MUEBLE PARA REFRIGERADOR,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.045
FIAS.18.01.011,CREDENZA 3 PUERTAS,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.011
FIAS.18.01.046,CREDENZA 3 PUERTAS,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.046
FIAS.18.01.047,CREDENZA 3 PUERTAS,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.047
FIAS.18.01.048,CREDENZA 3 PUERTAS,https://fias-activos.github.io/consulta/?codigo=FIAS.18.01.048
